Entity1,Relation,Entity2
3653,导演,14021
643,上映地区,45
1690,类型,8
3185,演员,14290
37,演员,4858
164,类型,22
1752,语言,144
1198,导演,11631
3128,上映时间,80
3350,演员,9914
3469,上映地区,45
166,演员,13081
2091,演员,13229
3366,演员,9509
3781,类型,5
2864,类型,26
796,演员,985
1760,类型,22
1865,上映地区,28
496,导演,18488
2761,演员,19851
3337,语言,45
52,上映地区,45
611,演员,20498
2313,演员,10602
506,演员,20848
4043,上映地区,45
4560,演员,7350
3658,编剧,20894
2142,类型,8
3440,演员,432
3137,编剧,7325
751,类型,7
3054,演员,8762
1973,类型,17
1137,演员,18403
2240,演员,14391
2584,演员,22152
2865,演员,18336
3279,演员,9085
532,演员,10840
3294,上映时间,87
3533,演员,1468
3860,类型,19
4235,演员,21924
2224,演员,17091
3476,演员,6913
4243,上映地区,28
4354,导演,11775
207,演员,9552
629,类型,7
2930,演员,16584
3764,类型,5
3838,类型,13
1625,类型,16
1551,类型,8
1976,演员,8384
1848,上映地区,28
3320,语言,45
107,演员,9732
1653,演员,22686
1100,语言,89
3610,演员,12502
4026,上映地区,45
1668,上映时间,45
4209,演员,4174
1127,演员,2500
3825,演员,21085
460,演员,8640
1890,演员,4274
455,演员,17663
3463,演员,19329
2057,语言,100
2629,演员,21072
3093,演员,459
418,演员,18123
705,上映地区,59
2317,类型,22
63,导演,2347
1956,类型,17
3966,演员,15491
1044,演员,20965
1656,类型,8
1026,类型,26
3317,上映时间,89
3740,导演,16798
2089,演员,22337
3617,类型,18
4413,演员,6606
3425,语言,45
3393,导演,3996
2631,演员,12290
4167,演员,1764
400,类型,22
622,上映地区,30
1206,语言,150
2039,演员,4682
4124,演员,10079
353,演员,10201
440,上映地区,27
682,上映时间,83
1076,编剧,14085
522,演员,22435
3803,演员,1061
8,语言,45
660,演员,20321
1612,语言,35
2630,编剧,17179
1394,演员,1045
3565,上映时间,94
2593,演员,9111
3383,演员,10932
2930,演员,12396
1643,演员,22773
167,演员,17204
1043,导演,18602
3151,演员,15932
23,上映地区,40
1986,编剧,6376
4200,演员,2423
147,演员,5947
550,编剧,13497
3133,演员,17420
4501,演员,15089
2674,上映时间,85
961,编剧,20409
3389,导演,3981
2672,编剧,11237
2625,演员,7265
3645,演员,15117
2031,类型,5
4196,演员,3748
4433,演员,15164
4382,编剧,16765
1779,类型,18
1685,编剧,18943
36,演员,19991
1782,演员,4440
1823,上映地区,28
2498,演员,18732
4086,导演,11014
1456,演员,15025
131,导演,488
1990,演员,13273
3915,语言,124
3008,演员,8592
1188,类型,18
1345,演员,11134
1785,演员,20219
4323,类型,16
4335,编剧,9428
66,类型,13
4552,演员,21262
4583,演员,4100
1884,类型,18
763,上映地区,47
3941,演员,3413
1141,演员,1337
541,演员,10179
883,上映时间,73
3572,演员,22666
3590,演员,3829
2389,编剧,10070
438,演员,10442
4260,编剧,2973
1482,演员,1984
4168,演员,19864
2836,上映时间,93
1293,类型,18
3775,编剧,22477
3566,类型,18
171,类型,13
1403,编剧,9522
97,类型,5
1833,导演,2269
2069,演员,21187
3518,演员,5972
1808,演员,21385
271,类型,18
4088,类型,5
1875,类型,8
3097,类型,18
619,演员,7688
359,上映地区,45
1882,演员,11016
1654,演员,15074
1867,类型,18
1793,类型,10
4197,演员,9965
2411,导演,4308
4321,编剧,13509
4441,导演,8270
4559,编剧,21014
3571,类型,13
2063,编剧,12498
3686,演员,12123
4404,演员,16293
1058,演员,10326
1367,演员,5807
3333,演员,204
4483,上映时间,56
2855,演员,13975
48,演员,451
4469,编剧,1458
3127,编剧,22242
1276,类型,18
3022,演员,4995
1816,导演,2269
46,类型,18
4073,编剧,7832
90,上映地区,28
2703,演员,6413
2614,演员,21442
3164,演员,8322
3961,语言,158
4249,上映时间,76
1850,类型,18
2884,演员,9947
1776,类型,10
717,演员,7406
2481,演员,17724
2531,编剧,9209
724,编剧,19455
47,演员,14747
1581,上映地区,7
43,演员,9824
2718,演员,21617
2850,上映时间,85
4544,演员,5191
2069,上映地区,45
1981,编剧,3990
4338,编剧,22503
3587,编剧,9164
3604,导演,10604
1963,类型,8
1259,类型,18
1778,演员,16452
2184,编剧,6206
1674,演员,14964
4054,类型,5
1768,演员,19767
2602,编剧,22846
144,演员,13273
4560,语言,124
893,演员,2199
4548,演员,8744
2365,编剧,6677
3944,语言,158
2427,演员,18946
4011,编剧,14718
4389,演员,19562
672,编剧,3613
1716,类型,16
1424,演员,3721
3337,演员,15434
596,演员,8170
1779,演员,2721
1564,上映地区,7
4425,导演,6001
2367,演员,8214
2004,演员,3044
1642,编剧,7743
2052,上映地区,45
3565,演员,15866
3365,演员,2300
4159,类型,5
3928,演员,19346
3756,上映地区,40
689,演员,10690
3206,演员,17282
4226,导演,6812
86,演员,19979
1931,语言,144
2485,上映时间,84
1011,编剧,4532
3322,编剧,6520
1094,上映时间,83
1299,类型,29
1825,演员,19775
2751,类型,7
2899,上映地区,7
3719,编剧,6189
4089,导演,7069
1601,上映时间,4
486,演员,22410
3825,演员,20548
231,上映地区,45
3149,演员,10631
1634,演员,164
611,演员,4446
776,编剧,7144
1903,导演,4840
4059,演员,18434
3843,类型,27
1649,演员,18165
1230,类型,16
2035,上映地区,45
2067,导演,20826
3063,导演,1766
684,演员,7231
3923,演员,11191
3571,演员,14609
552,编剧,7202
1036,演员,20438
3287,演员,3232
3631,上映地区,45
1914,语言,144
3100,导演,4689
1858,编剧,12367
821,类型,19
2061,语言,110
343,上映地区,4
2208,演员,16379
1951,演员,18616
2152,演员,944
3321,演员,1293
3506,编剧,1252
443,上映地区,9
4181,导演,16503
1434,语言,45
4538,类型,7
1028,演员,19493
2558,演员,5154
4494,上映时间,62
4528,编剧,3911
1183,上映地区,7
1899,演员,21083
37,演员,1422
248,语言,100
4442,演员,8975
4,类型,18
1917,类型,6
350,演员,12349
93,语言,144
4515,演员,4961
26,演员,159
3407,编剧,16755
1313,类型,21
1438,上映时间,48
1795,类型,6
3614,上映地区,45
3006,演员,21169
2577,演员,10493
2670,演员,21298
3644,上映地区,9
355,导演,19333
4158,演员,17196
4519,演员,9678
353,语言,100
2967,演员,5333
841,编剧,18200
197,上映地区,45
955,演员,17818
722,演员,745
4188,上映地区,45
2605,演员,16984
224,演员,1949
3292,演员,5661
3013,语言,45
3709,类型,22
3944,演员,11495
2037,演员,21557
4290,编剧,4111
40,演员,15652
438,导演,14235
710,导演,20935
3052,上映时间,85
3452,演员,10883
57,上映时间,94
3597,上映地区,45
928,演员,5878
3453,演员,10944
2843,编剧,16960
3152,上映时间,90
2375,演员,7375
3587,语言,45
3782,上映时间,72
4220,演员,7253
3587,编剧,14909
2148,上映时间,91
1100,导演,18602
1461,上映时间,80
2083,编剧,12851
3182,演员,10485
3696,类型,16
2006,上映地区,40
1400,语言,45
536,演员,21109
1109,类型,2
823,导演,13364
972,上映地区,59
2076,演员,13607
2548,演员,15615
1011,演员,10804
3645,编剧,20072
478,演员,10308
2996,语言,45
3487,编剧,5
1293,编剧,4587
1075,类型,26
2340,编剧,12288
1827,编剧,4555
1584,导演,20719
3977,演员,9121
742,上映地区,64
3705,上映时间,69
346,演员,1925
1636,演员,17530
40,上映时间,94
41,演员,17355
185,上映地区,40
816,导演,3411
924,编剧,2148
2841,演员,19987
3570,语言,45
1835,演员,15214
3657,上映时间,77
799,演员,19484
1424,演员,12849
3407,编剧,10473
380,演员,8475
676,演员,11697
1057,语言,39
33,上映地区,58
732,演员,4704
852,编剧,16214
1845,演员,17355
113,演员,17282
2107,编剧,17257
4552,演员,11626
255,编剧,1989
984,类型,7
2742,演员,17976
346,演员,19079
3006,语言,92
2979,语言,45
475,类型,5
1913,导演,100
3877,演员,20039
3425,演员,19456
875,编剧,19249
275,导演,12000
1683,演员,4285
650,类型,22
23,上映时间,94
4355,上映地区,59
1512,导演,7380
3745,类型,18
2710,上映时间,86
218,演员,14428
2529,演员,3994
3276,类型,18
2064,演员,5298
4123,演员,19569
1170,演员,4241
967,类型,7
2711,语言,89
1119,上映时间,81
3228,类型,26
3338,演员,17187
2962,语言,45
3777,演员,6828
4094,语言,100
3028,类型,22
817,语言,158
3850,类型,18
581,编剧,4212
3145,演员,10726
2024,类型,23
4583,演员,7080
4020,编剧,6641
959,演员,9612
3330,演员,3820
4060,语言,124
3880,上映时间,92
4080,演员,913
772,演员,19796
3323,演员,22577
2816,语言,89
1032,类型,5
1341,演员,20710
2437,类型,22
1740,编剧,14495
1795,演员,9475
3137,上映时间,80
846,类型,17
3545,语言,45
1977,导演,15276
354,语言,35
3372,类型,8
2689,上映时间,74
547,语言,110
1951,上映地区,28
4028,演员,10325
3139,导演,13414
3261,演员,11764
1438,类型,18
2554,演员,17845
734,上映地区,40
2232,演员,19154
2757,导演,5507
1141,上映时间,63
1927,编剧,6943
4204,演员,10595
717,导演,945
2989,演员,10699
3687,演员,13636
2799,语言,89
3242,类型,18
1724,语言,45
1100,演员,18139
3828,上映时间,55
2272,上映时间,87
2544,编剧,9542
2467,编剧,12444
33,演员,21468
1107,演员,21834
3633,演员,6576
3667,演员,6525
1644,演员,14011
4044,演员,19847
4073,演员,2829
299,演员,15438
1999,演员,6595
4117,演员,16997
999,演员,2629
1203,类型,7
3894,上映时间,84
3763,编剧,19817
4389,类型,15
4548,演员,22678
75,演员,92
4034,演员,13585
2904,语言,89
480,演员,7830
1421,类型,18
717,上映地区,40
87,上映地区,58
4383,编剧,19896
3076,演员,12941
283,演员,2862
890,编剧,17002
2831,演员,20783
3332,编剧,5441
437,语言,13
939,上映地区,18
4112,类型,15
2782,语言,89
3225,类型,18
4366,演员,229
687,演员,1326
1925,上映地区,7
3666,演员,16849
1919,演员,19315
379,编剧,1602
2103,演员,18821
3638,语言,69
487,上映地区,45
2004,演员,4146
4034,演员,8108
1955,上映时间,78
1238,语言,45
390,编剧,21888
1993,演员,13463
1497,上映地区,70
334,上映地区,2
1010,演员,5534
72,演员,2905
257,演员,14159
876,演员,22549
4217,类型,15
4321,类型,5
1664,上映时间,87
4473,上映时间,79
2887,语言,89
2213,导演,6961
986,类型,3
1731,演员,10022
794,演员,9163
319,演员,5529
3268,编剧,3760
3397,演员,16832
1911,演员,13495
4095,类型,15
435,演员,15077
2676,演员,15182
1838,上映时间,73
3533,演员,18598
3626,类型,15
905,编剧,20633
3548,上映地区,14
2130,上映时间,92
460,语言,45
1733,演员,7656
3982,上映时间,84
1983,演员,943
1579,导演,5860
2996,演员,14145
1163,演员,13282
3994,编剧,12595
4208,类型,5
961,演员,11702
4201,演员,6833
872,演员,17252
4304,类型,5
2063,语言,159
4200,类型,15
431,演员,6397
217,演员,17136
222,演员,18091
688,编剧,8925
2091,类型,8
61,类型,18
3307,演员,16120
1110,编剧,13492
4015,演员,3627
2085,演员,12502
4377,演员,687
4285,语言,45
2252,演员,21272
1808,编剧,19411
768,演员,2151
2640,演员,16609
2861,类型,27
1149,演员,592
557,演员,3564
635,类型,18
1807,编剧,5973
783,上映地区,18
3697,导演,11506
1785,导演,11932
410,语言,100
544,上映时间,93
166,类型,18
2697,编剧,7446
2069,演员,3309
266,类型,23
4183,类型,15
2479,编剧,16824
3367,演员,22287
44,类型,18
3835,演员,18439
53,导演,4483
438,演员,3302
966,类型,19
3899,编剧,1099
3181,演员,13075
888,上映地区,18
2327,上映时间,91
114,上映时间,94
2959,演员,10417
356,演员,9720
702,演员,16428
23,演员,11301
69,演员,16893
1040,编剧,6072
1263,编剧,5728
618,类型,18
1162,演员,20731
2154,编剧,16475
1540,类型,19
2514,上映时间,89
149,类型,18
640,演员,18064
301,上映时间,92
3533,演员,21176
2084,编剧,243
3683,编剧,13773
2716,演员,8549
3741,演员,5479
4144,上映时间,76
4280,语言,110
923,类型,22
10,编剧,401
219,上映时间,94
954,演员,22636
1953,类型,18
3660,编剧,22385
4018,上映时间,80
4099,演员,10459
4259,演员,18714
949,类型,19
1128,上映地区,33
1101,上映时间,93
723,类型,18
1055,语言,124
1270,演员,3345
19,类型,28
531,语言,45
23,演员,2791
2020,演员,16832
97,上映时间,94
554,类型,27
3006,编剧,21185
3388,编剧,17348
4401,演员,8455
1066,上映时间,56
1036,演员,18641
4121,演员,3664
2500,演员,11218
2061,演员,20278
4271,类型,15
568,编剧,11416
445,演员,21674
1775,演员,15225
2423,上映时间,81
4201,上映时间,84
522,演员,20101
2241,编剧,8514
3820,演员,12848
3191,语言,175
1628,演员,22614
202,上映时间,94
4342,上映地区,45
820,演员,12246
144,演员,18026
2003,演员,16832
1084,上映时间,93
706,类型,18
1956,演员,2319
3810,演员,9394
1290,演员,14936
2622,编剧,3922
55,演员,17160
80,上映时间,94
2121,上映地区,58
2249,语言,35
2450,类型,15
3267,编剧,15860
1110,演员,3549
492,演员,19541
206,演员,1835
3970,演员,4817
3751,上映地区,45
2023,编剧,19797
3032,类型,5
3285,演员,12445
821,演员,17410
3410,上映时间,80
115,类型,18
995,上映地区,59
2038,上映地区,29
992,演员,21977
1529,编剧,8749
4567,导演,1249
2058,导演,8610
3240,演员,8398
2082,编剧,12542
185,上映时间,94
4325,上映地区,45
1486,演员,1328
4544,演员,21032
658,演员,5777
3896,编剧,3918
1954,演员,10521
2933,演员,8077
3768,演员,6395
4504,语言,153
1211,类型,5
220,演员,921
2176,演员,22224
2433,类型,15
1919,编剧,14495
1147,上映地区,20
1071,演员,8603
1100,上映地区,59
3075,演员,2544
408,编剧,3463
2906,演员,3717
3015,类型,5
4433,演员,19596
1661,演员,14763
707,演员,9007
3296,编剧,16154
2546,类型,5
3651,类型,13
4490,演员,12428
1075,演员,18572
411,语言,35
2131,编剧,8222
1894,编剧,970
2152,演员,12113
577,演员,12606
4425,类型,17
3536,演员,10465
3839,上映地区,45
3421,类型,18
3206,演员,1632
996,编剧,19694
1430,上映地区,29
2079,演员,262
2096,编剧,18394
132,演员,20091
3718,语言,144
588,演员,20988
3707,语言,45
4167,编剧,16757
1061,编剧,18753
3164,演员,16942
1856,演员,15657
3939,演员,20949
2529,类型,5
603,类型,5
702,演员,9341
3735,编剧,14045
960,类型,25
3634,类型,13
2018,上映地区,45
4291,上映地区,45
1121,类型,7
2742,上映时间,86
1725,演员,12606
3186,类型,7
3116,语言,45
4281,语言,45
4476,编剧,8852
3061,上映地区,45
899,类型,2
1897,语言,144
3822,上映地区,45
980,编剧,15029
670,演员,10588
1577,编剧,8316
1693,演员,18549
991,类型,17
2595,类型,7
3690,语言,45
3978,类型,18
1186,类型,5
2418,演员,5503
30,编剧,4747
1276,编剧,19944
2587,类型,17
4575,演员,15702
2001,上映地区,45
2687,类型,22
766,演员,13779
879,上映地区,40
2280,演员,19315
3027,演员,10792
1733,演员,7469
4130,演员,556
4264,语言,45
771,上映地区,45
3164,演员,13809
3397,演员,11168
1967,演员,12124
4456,编剧,14923
4091,类型,8
1880,语言,144
2249,演员,11722
404,上映时间,94
805,语言,100
1878,类型,11
2042,演员,19165
160,演员,8431
2983,类型,19
804,导演,19544
2292,导演,372
1272,演员,6499
1969,语言,50
1026,上映时间,86
979,上映地区,18
2627,演员,3049
4009,导演,12066
2089,演员,13266
2451,语言,35
2652,类型,15
3673,语言,45
2756,演员,15615
586,演员,4240
3943,演员,16931
380,演员,18705
2401,演员,11919
354,上映地区,58
3605,上映地区,14
3204,语言,45
3149,上映地区,45
2270,类型,8
3897,上映地区,33
1974,语言,45
3659,演员,2521
2958,编剧,20647
4135,演员,14878
754,上映地区,45
157,类型,16
3029,导演,16853
1343,演员,3894
4257,类型,15
3718,上映地区,4
658,演员,20382
788,语言,100
92,演员,11127
2622,演员,12422
3522,上映时间,92
2020,演员,17800
4554,语言,141
762,演员,2652
1410,语言,92
2434,语言,35
2245,演员,11707
1069,演员,10873
1092,类型,2
849,类型,22
136,编剧,7204
1662,演员,9242
3329,演员,807
3443,演员,16915
3257,类型,7
4069,上映时间,45
841,演员,6244
3187,语言,45
1788,演员,7524
4460,演员,15000
641,上映地区,45
492,上映时间,94
2849,编剧,17198
1101,演员,9987
3107,语言,158
57,演员,5613
4457,编剧,13796
4504,演员,3330
737,上映地区,45
3947,导演,15727
2907,语言,154
2935,演员,21255
644,演员,1832
457,导演,3699
1429,演员,19092
1835,语言,45
186,演员,1758
3761,语言,45
3090,演员,273
3358,演员,22264
3953,类型,18
1407,上映地区,59
4283,编剧,21312
513,演员,15956
2807,演员,13221
2566,导演,5591
4353,类型,5
3665,演员,21215
4458,编剧,14560
365,编剧,9013
1431,演员,3894
4005,导演,21829
2836,类型,8
4162,类型,8
4345,类型,15
2132,类型,18
1041,演员,19409
2611,编剧,17398
3054,类型,19
3639,导演,8734
50,编剧,10045
350,演员,3599
1996,演员,14838
841,类型,22
873,演员,16671
998,演员,11892
2084,类型,26
2906,类型,22
2522,语言,35
3836,类型,13
3936,类型,18
1178,演员,15365
4114,演员,9964
258,演员,14867
4375,上映时间,89
3282,演员,13654
319,类型,8
2706,类型,18
719,类型,22
190,导演,14902
2784,上映时间,84
347,演员,10801
4530,演员,13859
143,演员,18532
2936,演员,9773
4410,类型,13
716,上映地区,33
4336,类型,5
1533,编剧,21759
980,编剧,14358
3119,类型,17
4328,类型,15
3011,类型,22
2115,类型,18
3791,演员,19877
2982,编剧,16343
340,演员,15579
900,语言,163
123,演员,3898
3561,演员,1014
3007,上映地区,40
2145,上映时间,92
68,演员,12262
2565,编剧,8399
2727,演员,12556
290,演员,9988
3997,语言,45
310,演员,13874
712,上映地区,45
294,类型,18
1849,演员,3514
1062,语言,0
3102,类型,17
1491,演员,5889
4250,演员,4294
230,演员,5319
1813,编剧,6147
2950,演员,6735
2994,类型,22
2250,上映时间,92
580,语言,45
2500,演员,10226
1069,演员,8324
868,类型,18
62,演员,1046
2890,演员,14898
1753,演员,2719
2919,导演,469
2995,编剧,15897
1724,导演,5405
3192,演员,1578
1468,导演,12220
3890,演员,13004
3282,上映地区,59
3899,上映地区,29
1870,演员,17599
4452,语言,154
4543,演员,5313
2103,类型,13
150,演员,4453
1431,编剧,17838
2161,上映地区,58
3895,编剧,21763
4416,类型,15
3757,演员,4015
4191,演员,3978
1506,上映时间,49
2725,类型,5
227,导演,10604
3237,上映时间,91
28,演员,4453
3671,演员,12737
2146,演员,8439
2977,类型,22
1638,语言,89
4487,上映地区,45
563,语言,45
3974,演员,10411
2603,类型,5
4529,类型,5
248,演员,11547
408,语言,89
4537,演员,21041
3196,编剧,21014
3677,上映时间,80
49,演员,12328
94,语言,45
1745,演员,15366
4481,类型,13
1086,类型,8
1383,演员,13610
1371,演员,19513
382,类型,18
3291,语言,100
3492,演员,4949
3882,上映地区,29
218,演员,20954
1062,演员,2693
71,导演,17218
4413,演员,18555
2144,上映地区,58
3834,演员,12073
1711,编剧,12806
668,语言,45
1000,导演,18087
1864,上映时间,70
3066,上映地区,59
3208,编剧,1720
286,演员,5435
169,演员,5625
4229,演员,5413
4238,演员,11644
998,演员,483
4391,导演,14889
2024,演员,2726
2931,编剧,12532
2960,类型,22
3555,演员,17112
4470,上映地区,45
4512,类型,5
2703,演员,10308
1638,演员,10511
3987,上映地区,29
1259,上映时间,54
391,语言,89
3092,语言,124
2249,上映地区,58
1069,类型,8
14,演员,18333
3628,演员,7065
1854,演员,4424
355,演员,321
3721,编剧,10967
3538,演员,5593
1871,演员,9685
715,演员,14017
19,演员,8529
3691,编剧,5879
3170,上映地区,28
651,语言,45
4420,编剧,2042
4254,演员,14397
1559,演员,11971
3830,类型,19
208,演员,13537
251,导演,13120
2349,演员,13439
1514,导演,19609
2567,演员,62
158,演员,12124
2465,类型,15
130,类型,7
1557,导演,18087
2731,演员,14149
2986,演员,6728
2232,上映地区,58
3087,类型,7
20,演员,17429
1549,编剧,2523
2552,演员,19391
3944,演员,20733
1763,上映地区,58
3852,语言,45
2533,演员,14402
3119,演员,20039
1173,演员,4819
932,导演,4693
3961,类型,16
4051,演员,1802
494,演员,3664
4558,上映地区,45
927,导演,2048
1808,演员,18409
3723,演员,5304
461,类型,8
3929,演员,10662
3490,演员,7243
270,演员,7330
1698,演员,18922
175,演员,17735
411,上映地区,58
265,演员,9937
3362,语言,100
3683,演员,11482
1103,演员,22360
3777,演员,22348
746,演员,6663
1461,编剧,6821
3509,上映时间,78
1596,上映时间,90
198,演员,13624
76,演员,22083
633,演员,7023
613,演员,9008
759,演员,5503
1027,语言,103
1311,演员,5882
1860,导演,12886
2551,演员,3859
81,编剧,1795
2720,演员,21345
3102,编剧,5391
65,演员,9152
3646,演员,19297
3835,语言,45
4383,上映时间,87
2345,编剧,16475
4541,上映地区,45
2864,编剧,7685
3438,演员,10239
3375,类型,11
126,演员,8597
1370,演员,5043
1642,演员,18715
2320,上映地区,58
1720,导演,17746
1,演员,21084
3754,演员,15478
4181,演员,8713
3940,语言,45
1945,演员,19216
950,演员,3783
1641,演员,9824
3311,语言,124
673,导演,17202
3495,演员,6511
62,上映时间,93
577,编剧,14446
4215,导演,13763
2510,类型,18
1363,演员,4889
3942,演员,17392
228,演员,12625
794,演员,3796
1506,类型,19
1420,语言,110
1660,演员,4200
2127,语言,35
1273,导演,14923
3419,类型,7
1324,上映地区,28
4090,演员,20227
3931,语言,35
3092,演员,7647
2266,演员,19179
4293,类型,16
4115,类型,18
3923,语言,45
973,演员,432
1519,演员,3357
371,演员,8254
1712,演员,20428
2125,演员,4565
206,演员,7877
2232,语言,35
3928,演员,22786
4233,演员,4912
293,演员,11459
2234,编剧,18010
2375,演员,3915
583,编剧,13542
3436,编剧,20005
2526,演员,17990
2110,语言,35
76,导演,1822
1189,类型,10
1907,演员,2831
1140,演员,106
786,上映地区,45
1424,演员,5067
67,类型,5
1111,上映地区,9
559,演员,16392
2102,语言,45
2294,类型,18
303,上映地区,29
2646,编剧,15504
4326,演员,13067
4560,编剧,19717
1261,导演,19671
2885,编剧,8339
1003,类型,22
4098,类型,18
576,演员,12985
3283,演员,4058
3277,语言,124
3307,演员,15075
2215,语言,35
2058,演员,8602
2972,演员,17709
369,上映地区,58
877,上映地区,29
2699,类型,27
3281,编剧,17955
398,类型,6
891,上映地区,45
1354,演员,6168
3624,导演,6366
3658,演员,11626
2359,类型,16
4285,类型,16
27,演员,13654
3176,上映时间,76
4203,类型,18
2277,类型,18
4011,语言,45
2085,语言,45
50,编剧,16408
442,演员,4521
490,演员,8650
74,演员,20970
5,编剧,9534
1351,导演,19578
1468,类型,7
2986,上映地区,33
3647,编剧,21376
1944,演员,4599
3804,演员,5509
3269,上映地区,45
2998,编剧,6235
4257,导演,11533
594,演员,15241
464,演员,10558
426,上映地区,66
1524,上映时间,67
2198,语言,35
874,上映地区,45
1754,演员,6915
1330,演员,21868
3339,上映地区,59
2721,演员,14346
3186,导演,5243
3264,类型,17
4359,演员,2772
4526,演员,20402
2851,演员,21856
2964,类型,8
722,演员,17017
3152,编剧,17622
2260,类型,18
3042,演员,16921
2886,上映地区,7
3515,演员,16337
2229,上映时间,85
4094,演员,17851
1777,导演,8803
3341,上映时间,52
745,语言,154
491,上映地区,7
962,演员,13266
3152,上映地区,40
2522,上映地区,58
3560,演员,16570
3444,上映地区,59
4508,上映地区,4
1682,演员,8277
1743,类型,26
2147,类型,7
2181,语言,35
2361,演员,18303
2834,类型,18
1259,导演,18785
3642,编剧,20020
805,演员,19089
3676,演员,14040
858,语言,144
4142,语言,45
2365,类型,18
1928,演员,4424
3010,编剧,4095
4177,类型,8
782,类型,3
3399,上映时间,91
809,演员,6427
99,演员,2977
1331,上映地区,40
990,上映时间,75
725,语言,45
220,演员,6508
2651,语言,45
1431,上映地区,45
2471,导演,5689
3364,上映时间,54
112,演员,13895
1189,演员,14606
2050,演员,2330
4579,演员,17571
256,语言,45
3789,编剧,6929
2505,上映地区,58
962,上映地区,45
760,演员,19391
3751,编剧,367
4183,演员,9059
1916,演员,4069
2060,语言,45
841,语言,144
2879,导演,734
2697,导演,9456
4545,演员,4763
830,语言,45
3026,类型,22
3148,演员,2056
179,演员,3597
4126,类型,21
1536,上映地区,45
3656,演员,17314
201,语言,124
1839,演员,16925
3422,演员,22811
2685,编剧,7685
2313,演员,19600
3397,导演,7553
2378,上映时间,92
708,语言,45
107,演员,20824
229,演员,5949
2276,导演,3637
2931,演员,4146
1697,编剧,12886
1355,编剧,12208
239,语言,45
457,上映地区,7
3792,导演,13001
904,演员,16744
3045,演员,13428
945,上映地区,45
4230,语言,45
4283,演员,15638
4352,演员,20697
2113,类型,7
2043,语言,45
51,导演,16087
3085,演员,7397
824,语言,144
1372,演员,19285
2795,演员,8601
1590,导演,5727
1644,类型,7
2548,演员,6007
1504,编剧,3392
2879,演员,9586
4070,上映时间,85
42,演员,13477
1779,类型,22
3448,类型,7
610,上映地区,29
855,编剧,2393
843,演员,121
1193,上映地区,50
2442,演员,6481
2824,编剧,15545
1514,类型,17
1185,上映地区,60
3222,演员,17680
1265,编剧,14879
681,编剧,16325
3683,演员,9201
3114,类型,22
2450,演员,18508
705,类型,6
894,演员,12124
1693,演员,6416
2006,编剧,443
3537,演员,16442
4282,演员,3489
284,演员,9612
990,演员,21937
796,语言,45
1627,类型,7
880,类型,23
3892,演员,2610
785,编剧,10838
377,演员,5141
519,类型,18
3688,类型,22
327,语言,45
4296,演员,19315
4310,导演,1861
752,导演,1392
653,上映时间,82
999,编剧,9545
1709,演员,1814
1838,编剧,17656
2201,类型,7
570,演员,15015
1043,编剧,17297
1197,类型,8
3376,演员,13202
3380,编剧,5140
832,编剧,4158
645,上映时间,92
901,语言,45
3097,类型,22
861,演员,6113
1573,演员,15892
2619,上映地区,7
4073,导演,4772
2933,语言,100
1867,类型,22
30,演员,20252
2600,演员,15944
1610,类型,7
164,演员,16234
1031,编剧,13559
1983,演员,1805
3455,演员,9833
502,类型,18
1104,演员,5534
3243,演员,20428
1709,演员,12552
4155,演员,204
1050,导演,9193
3749,上映时间,88
4128,演员,8293
1439,编剧,4114
3453,导演,22365
4003,导演,9245
2673,演员,3453
4262,演员,1831
2859,演员,14149
559,演员,6406
1980,演员,14878
3764,导演,17349
2520,演员,15832
4354,演员,19021
2698,语言,89
3920,导演,3389
411,演员,6564
2602,上映地区,7
1932,导演,5405
2751,演员,5294
4211,演员,19225
2932,上映时间,87
3660,演员,4176
1400,演员,2498
2707,演员,171
4207,演员,19994
3982,导演,15491
3986,编剧,17436
2081,演员,17163
4476,类型,18
762,演员,18977
1032,语言,45
361,演员,2872
706,演员,13138
4554,上映时间,84
3503,演员,2829
1151,编剧,8351
1691,演员,6458
1061,编剧,10487
482,演员,8123
1246,导演,5805
1111,上映时间,87
2266,演员,17248
4161,导演,20987
1955,类型,22
4188,编剧,4315
3882,演员,3986
895,上映地区,28
359,编剧,1550
1137,上映时间,84
1696,编剧,8801
1855,演员,21855
2209,演员,6107
2919,演员,1242
207,上映时间,93
1029,上映时间,89
4181,演员,12043
4569,演员,6824
4011,演员,6547
2655,类型,18
813,编剧,15743
1540,导演,18542
1050,演员,12568
1300,演员,17580
4485,语言,89
1101,编剧,2215
1446,导演,1816
1110,演员,8599
1112,演员,14871
2472,演员,9959
3237,类型,8
3328,演员,10870
521,演员,8680
4312,上映地区,7
3551,演员,12246
1710,编剧,7504
2417,编剧,14773
2768,类型,8
825,演员,352
1368,编剧,410
2786,语言,89
3561,语言,124
600,演员,22660
2695,演员,21134
4199,演员,10360
2831,导演,12472
889,编剧,13749
1938,类型,22
2862,演员,19677
4229,上映时间,85
130,上映地区,40
2874,演员,11522
30,语言,84
1012,上映时间,89
2976,演员,4058
415,演员,18761
3720,上映时间,83
1472,编剧,13181
2638,类型,18
4124,编剧,9989
1921,上映地区,28
179,演员,5154
4295,上映地区,7
4461,演员,19062
4325,类型,16
1977,演员,14870
486,演员,10521
3617,上映地区,33
2769,语言,89
1321,编剧,17014
3212,演员,18826
4347,演员,15254
1001,演员,6089
2137,编剧,1472
